Date : 2023-04-03 16:48:00
Directory : f:\Project\工作文件夹\MiraiTravel-Worker
Total : 87 files,  6035 codes, 2871 comments, 1112 blanks, all 10018 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\QQObjTrait.php                                        | PHP      |        392 |        146 |         41 |        579 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\httpAdapter.php                                       | PHP      |         94 |         10 |         12 |        116 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\messageChain.php                                      | PHP      |        135 |         56 |         23 |        214 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\miraiApiHttp.php                                      | PHP      |        286 |        172 |         52 |        510 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\president.php                                         | PHP      |         19 |          8 |          6 |         33 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\qqObj.php                                             | PHP      |          8 |          3 |          3 |         14 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\webhookAdapter.php                                    | PHP      |         32 |         17 |          9 |         58 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\config.json                                                 | JSON     |          6 |          0 |          0 |          6 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\easyMirai\V0.1.1\easyMirai.php                              | PHP      |         34 |         11 |          5 |         50 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\mirai.php                                                   | PHP      |          1 |          0 |          5 |          6 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\webhook\V0.1.1\webhook.php                                  | PHP      |         48 |         19 |          6 |         73 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\onebotAapter\config.json                                                 | JSON     |          0 |          0 |          1 |          1 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\onebotAapter\onebot.php                                                  | PHP      |          0 |          0 |          1 |          1 |
| f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\President.php                                             | PHP      |         22 |         19 |         10 |         51 |
